date,channel,country,platform,spend,impressions,clicks,installs,iap_revenue,user_id,metric_factor_01,metric_factor_02,metric_factor_03,metric_factor_04,metric_factor_05,metric_factor_06,metric_factor_07,metric_factor_08,metric_factor_09,metric_factor_10,metric_factor_11,metric_factor_12,metric_factor_13,metric_factor_14,metric_factor_15,metric_factor_16,metric_factor_17,metric_factor_18,metric_factor_19,metric_factor_20,metric_factor_21,metric_factor_22,metric_factor_23,metric_factor_24,metric_factor_25,metric_factor_26,metric_factor_27,metric_factor_28,metric_factor_29,metric_factor_30,metric_factor_31,metric_factor_32,metric_factor_33,metric_factor_34,metric_factor_35,metric_factor_36,metric_factor_37,metric_factor_38,metric_factor_39,metric_factor_40
2025-01-01,TikTok,USA,iOS,423.39,23940,504,252,492.36,1,12.3037,85.1027,72.1445,68.8424,77.0849,83.6124,92.6289,19.8228,80.6491,21.9679,61.0114,97.1412,92.9536,45.7149,57.1534,22.6406,4.1875,51.638,49.8363,63.2486,84.2362,21.1815,80.8385,86.2133,8.6876,92.6327,15.2098,20.984,56.8124,89.504,21.7879,16.305,56.0186,18.3679,12.1587,75.3394,40.5011,52.9301,9.6242,12.1896
2025-01-01,TikTok,USA,Android,337.33,19250,550,275,1153.65,1,39.8428,50.5925,82.7038,78.2593,56.2161,57.6506,42.0767,43.8478,41.2252,49.0334,75.4403,59.1164,96.0445,59.8377,54.011,15.833,52.2746,92.0171,15.9954,36.9295,44.5318,52.3256,22.6067,78.319,27.8604,29.9877,25.6416,76.9285,93.7236,34.1389,21.4585,91.5758,93.5469,11.5738,15.0701,68.2628,17.5787,66.8145,80.2857,64.8483
2025-01-01,TikTok,DEU,iOS,244.25,9800,350,175,236.08,1,5.1097,13.9556,72.3044,16.8701,25.4903,21.3205,10.0802,55.5014,31.9639,22.5174,51.6544,1.9597,14.6249,81.0434,67.6219,6.6655,86.2501,52.6485,19.2637,14.066,76.4824,98.1443,28.1301,4.2655,93.459,57.9188,63.1911,22.8652,95.1003,8.3967,96.8533,77.2133,38.546,16.0946,43.1821,14.4142,9.4304,62.6732,17.297,94.5802
2025-01-01,TikTok,DEU,Android,156.02,11135,262,131,326.1,1,87.4611,2.7193,72.2795,72.2167,87.9616,93.2791,22.7997,80.1743,38.0442,7.0921,73.4871,85.6404,35.0523,82.4501,24.917,26.7173,94.7455,97.8116,79.2906,47.5873,28.0683,56.0597,7.7503,75.3629,70.5064,24.5588,1.7126,44.7542,94.0003,90.3603,30.8765,64.5959,54.7879,89.2484,98.7787,48.6304,29.754,93.1068,98.3534,93.2964
2025-01-01,TikTok,FRA,iOS,272.91,14536,474,158,516.62,1,61.5604,95.4757,84.0061,85.3006,13.6746,80.6245,21.9566,2.9102,98.3719,12.1759,94.946,67.6592,8.1084,26.8557,66.7799,18.4054,16.143,85.9451,64.7341,27.4784,12.5318,72.3175,56.6045,41.6046,79.8306,62.7389,56.4039,3.0157,18.5775,86.8946,55.8357,14.8887,14.5242,35.5922,59.9505,15.3883,84.6176,78.6299,9.953,60.6419
2025-01-01,TikTok,FRA,Android,423.86,27740,1140,380,1256.77,1,63.9623,42.3338,93.3393,9.6507,46.3894,95.0625,92.6225,58.5165,67.3787,46.5632,61.4277,35.1633,29.9559,92.0941,70.1378,29.4609,66.975,5.0097,64.3931,71.3436,78.5768,18.4087,31.0777,9.7519,84.7646,31.3526,59.028,78.5743,84.2133,70.0625,60.7647,40.8267,19.369,0.9622,42.7504,67.7188,73.543,47.9669,78.6216,6.762
2025-01-01,TikTok,GBR,iOS,237.23,15147,891,297,532.35,1,67.5458,6.9112,84.7276,9.0731,83.3934,68.9176,27.0395,36.3606,78.4633,75.5781,70.5471,10.3875,22.8135,55.3281,43.7476,70.5307,33.3492,85.6855,38.7863,1.2916,34.4414,67.5744,33.2525,25.051,72.5874,36.1916,65.4019,22.7913,63.0376,50.9168,41.2331,25.9838,32.0144,38.3867,14.5672,6.4351,45.5528,36.7944,36.7341,51.2644
2025-01-01,TikTok,GBR,Android,164.08,11826,438,146,281.34,1,15.3992,85.0311,3.753,48.171,16.8552,77.0012,79.5433,10.2398,65.7164,93.9408,12.9898,53.4767,21.7719,28.8713,15.7582,16.3029,96.1843,84.0695,0.5865,26.5864,83.4093,56.0024,31.8515,43.2863,0.6125,32.6149,18.7983,95.039,24.1462,35.0266,63.9441,37.8947,26.6358,48.2747,96.4625,2.5141,51.1317,45.5726,54.6834,54.9522
2025-01-01,TikTok,CAN,iOS,359.37,14210,735,245,715.28,1,88.4257,80.6799,92.6593,91.5736,76.507,30.9883,43.3847,37.9427,74.3128,63.2134,86.0886,19.2922,37.0058,28.1633,53.5461,31.5258,39.9829,58.778,60.5214,4.9115,30.5818,73.0346,71.8302,32.1927,0.279,55.1395,7.174,25.704,91.8001,78.306,99.9678,61.7738,89.3268,85.2417,90.9616,48.2751,60.8566,79.8832,10.6276,4.182
2025-01-01,TikTok,CAN,Android,422.43,25418,1074,358,1137.7,1,53.8016,32.2623,10.0537,87.2427,46.6907,61.5635,49.173,34.791,39.761,49.4889,90.8247,89.9023,2.1262,61.1914,0.0657,17.4857,58.9101,60.4535,38.3973,20.8113,3.2043,37.2518,22.1954,26.7865,82.9131,21.9853,1.6407,62.6886,27.0398,2.1928,18.9305,45.8135,69.1586,44.6255,99.4296,73.4291,51.9823,34.3192,93.7019,54.9311
2025-01-01,Google Ads,USA,iOS,132.45,13365,330,165,457.5,1,94.4755,91.4881,9.4623,21.3697,49.1916,17.063,28.2941,70.5522,41.4693,79.3487,55.9518,0.9031,61.5094,31.4903,68.8246,17.1309,10.5769,82.5629,10.3079,20.8996,69.4417,18.2866,43.488,66.406,16.8747,91.0913,2.4043,86.1231,36.5925,80.9278,48.691,22.9529,17.2891,72.4827,77.4895,8.8687,73.7826,93.1875,13.1847,69.0059
